score_type,metric,n_proteins,mean_observed_metric,median_observed_metric,mean_observed_ci_low,mean_observed_ci_high,mean_random_baseline,median_random_baseline,mean_observed_minus_random_mean,median_observed_minus_random_mean,wilcoxon_statistic,wilcoxon_pvalue
coil_score,auprc,374,0.22881424783963825,0.17364389586203238,0.21068128502166325,0.24646393467929603,0.2366894591849873,0.1753848169028238,-0.007875211345348986,-0.010076177719157156,17485.0,7.074264089594295e-17
structured_score,auprc,374,0.2624370492571563,0.20503710502380537,0.24254433733197947,0.28178986394049016,0.23667755689323294,0.17536898234244389,0.025759492363923303,0.01533578996146677,11100.0,3.7282868444357106e-30
coil_score,auroc,374,0.44679338834296617,0.43769938745988857,0.43624328769479853,0.4578523829929419,0.4999733370599842,0.5000239955942357,-0.053179948717018005,-0.061344554257761835,14908.0,2.548304883813102e-21
structured_score,auroc,374,0.5532066116570338,0.5623006125401114,0.5421476170070582,0.5637567123052015,0.5001179623576679,0.5000628445199493,0.053088649299365784,0.062190727728287015,14913.0,2.608058720019233e-21
coil_score,precision_at_k,374,0.2018134754794571,0.11269841269841269,0.17735485870046708,0.2249514121052957,0.2310605168167478,0.2024596669750231,-0.029247041337290672,-0.00013333333333333334,8171.0,1.8313895524881452e-12
structured_score,precision_at_k,374,0.25401320245705017,0.2,0.22844913405421413,0.28022422063571406,0.22754652462935146,0.17703457446808513,0.026466677827698654,0.0,9729.0,6.0689662198116296e-09
